new_family_index,old_family_index,family,level,family_num
708,557,Codonellopsidae,2,747
709,768,Calyptrosphaeraceae,1,747
710,813,Paralepididae,5,746
711,797,Neotonchidae,2,743
712,612,Hyperamminidae,2,737
713,818,Eupronoidae,2,736
714,566,Chiloguembelinidae,2,732
715,723,Salpidae,2,729
716,819,Canuellidae,2,727
717,494,Sciaenidae,4,721
718,831,Epigonidae,4,715
719,825,Hymedesmiidae,2,714
720,832,Diaphanidae,2,707
721,826,Cyartonematidae,2,700
722,755,Scytosiphonaceae,1,693
723,838,Acidostomatidae,2,688
724,786,Longipediidae,2,688
725,742,Prolixoplectidae,2,688
726,833,Aeteidae,2,687
727,824,Melamphaidae,3,687
728,834,Pennatulidae,3,685
729,830,Ampithoidae,2,674
730,847,Centrophoridae,5,669
731,493,Globigerinelloididae,2,669
732,839,Molidae,4,667
733,837,Bryopsidaceae,1,661
734,815,Bythocytheridae,2,660
735,728,Corynidae,3,658
736,844,Exochellidae,2,654
737,846,Plexauridae,3,651
738,816,Pomacanthidae,3,650
739,790,Squillidae,2,645
740,860,Lyonsiidae,2,635
741,732,Rhincalanidae,2,632
742,827,Acanthephyridae,3,630
743,856,Peyssonneliaceae,1,629
744,781,Chrysalogoniidae,2,625
745,867,Ophiactidae,2,617
746,692,Ammoniidae,2,617
747,823,Epialtidae,3,615
748,842,Polyceridae,2,614
749,868,Epitoniidae,3,605
750,876,Nolellidae,2,605
751,878,Lycaeidae,2,604
752,869,Protodriloididae,2,603
753,874,Tethyidae,2,602
754,871,Tubolaimoididae,2,601
755,877,Raspailiidae,2,601
756,863,Asterinidae,2,601
757,884,Platytroctidae,3,598
758,886,Canthocamptidae,2,595
759,788,Pontocyprididae,2,594
760,889,Carapidae,3,594
761,855,Portunidae,4,593
762,792,Beroidae,3,592
763,754,Carcharhinidae,5,592
764,892,Tanaissuidae,2,588
765,729,Adercotrymidae,2,584
766,843,Spiroloculinidae,2,582
767,887,Zygnemataceae,1,580
768,883,Monoposthiidae,2,577
769,893,Luciferidae,3,575
770,899,Aegisthidae,2,574
771,875,Eusiridae,2,573
772,881,Scinidae,2,567
773,885,Grantiidae,2,567
774,835,Robertinidae,2,565
775,731,Actiniscaceae,1,565
776,857,Ophidiidae,5,563
777,902,Scrupariidae,2,561
778,910,Lichinaceae,1,560
779,852,Enchelidiidae,2,560
780,894,Acanthochitonidae,2,558
781,772,Podolampadaceae,1,554
782,903,Protodrilidae,2,551
783,850,Geryonidae,5,550
784,862,Loxoconchidae,2,544
785,905,Solmundaeginidae,3,542
786,909,Lithodermataceae,1,542
787,758,Glandulinidae,2,542
788,873,Chaetodontidae,4,541
789,879,Alariaceae,1,539
790,724,Ulotrichaceae,1,536
791,891,Tritoniidae,2,534
792,907,Polymastiidae,2,533
793,904,Triviidae,3,531
794,719,Verneuilinidae,2,529
795,870,Alepocephalidae,4,529
796,828,Bolivinellidae,2,525
797,922,Cruoriaceae,1,517
798,919,Kirchenpaueriidae,3,511
799,915,Mormonillidae,2,506
800,897,Mesophyllaceae,1,501
801,930,Polycopidae,2,501
802,848,Harpacticidae,2,489
803,937,Cylindropsyllidae,2,488
804,898,Miliamminidae,2,486
805,931,Tosaiidae,2,483
806,943,Spirulinaceae,1,479
807,925,Ceratobuliminidae,2,479
808,938,Lafoeidae,3,477
809,927,Ahnfeltiaceae,1,472
810,840,Pinnotheridae,3,471
